customer_id,churn,age,gender,marital_status,education_level,dependent_count,occupation_type,annual_income,income_band,income_category,city_tier,region,customer_segment,tenure_months,onboarding_channel,relationship_type,number_of_products,primary_account_type,card_category,customer_lifetime_value,loyalty_program_member,referral_count,last_contacted_days,relationship_manager_assigned,avg_monthly_balance,current_balance,balance_decline_percentage,monthly_transaction_count,monthly_transaction_value,cash_withdrawal_count,upi_transaction_count,debit_card_transaction_count,net_banking_transaction_count,account_inactive_days,total_trans_amt,total_trans_count,total_amt_chng_q4_q1,total_ct_chng_q4_q1,avg_open_to_buy,total_revolving_bal,savings_account_flag,current_account_flag,credit_card_flag,personal_loan_flag,home_loan_flag,auto_loan_flag,fixed_deposit_flag,investment_product_flag,insurance_product_flag,demat_account_flag,credit_card_limit,credit_card_spend,credit_utilization_ratio,minimum_due_paid_flag,late_credit_card_payment_count,loan_outstanding_amount,emi_amount,emi_payment_delay_count,loan_default_risk_score,prepayment_flag,mobile_app_login_count,website_login_count,digital_transaction_ratio,last_login_days,failed_login_count,app_rating_given,paperless_statement_enabled,digital_service_usage_score,mobile_banking_active_flag,email_open_rate,total_complaints,complaint_resolution_time,unresolved_complaint_count,branch_visit_count,call_center_interaction_count,relationship_manager_interaction_count,service_request_count,escalation_count,satisfaction_score,nps_score,campaign_received_count,campaign_response_count,cross_sell_offer_count,upsell_offer_count,retention_offer_received,retention_offer_accepted,last_campaign_response_days,discount_or_fee_waiver_received,competitor_bank_offer_awareness,customer_feedback_sentiment,monthly_income_estimate,credit_utilization_3m_avg,credit_utilization_6m_avg,avg_quarterly_balance,total_digital_logins,debt_to_income_ratio,digital_engagement_index,competitor_bank_offer_awareness_ord,customer_feedback_sentiment_ord,income_band_ord,gender_enc,marital_status_enc,occupation_type_enc,region_enc,customer_segment_enc,onboarding_channel_enc,relationship_type_enc,primary_account_type_enc,income_category_enc,customer_stability_index,complaint_severity_score,relationship_strength_score,silent_churn_risk,financial_stress_score,churn_probability,risk_level,revenue_at_risk,risk_tier,persona_cluster,persona_name,retention_strategy
133011,1,53,Female,Married,Doctorate,4,Salaried,26652,Low,Less than $40K,Tier 2,South,Mass,37,DSA,Premium,6,Savings,Blue,2665.48,1,0,160,0,4790.0,6570.0,-1.02,3,215.58,2,9,8,5,81,2587,43,0.666,0.536,1202.0,2517,1,1,1,1,0,0,0,1,1,0,3719,1197.0,0.677,0,0,58994.0,2004.0,1,39.8,0,15,7,0.917,25,2,,0,52.5,1,0.399,2,14,0,0,2,0,2,0,3.5,75,8,0,1,1,0,0,85,0,High,Neutral,2167,0.641,0.679,13668.0,22,0.9023,39.8,3,1,0,0,1,3,3,2,1,3,3,4,47.74,1.2,47.331087177262496,1505.0,0.9023,0.99880886,High Risk,2662.3050422286988,High,3,Financially Stressed,Immediate relationship manager intervention with premium retention offer
133012,1,48,Female,Married,Unknown,4,Salaried,34835,Lower-Middle,Less than $40K,Tier 1,West,Mass,41,Online,Investment,3,Current,Blue,3184.25,0,0,149,1,7465.0,5430.0,13.65,3,177.67,3,13,9,8,97,2132,37,0.449,0.37,1180.0,1267,1,0,1,0,0,0,0,0,1,0,2447,1151.0,0.518,0,0,0.0,0.0,0,57.4,0,12,6,0.909,14,1,,1,58.1,1,0.449,1,2,0,2,3,0,3,0,2.8,-7,2,0,1,2,0,0,62,0,High,Negative,3260,0.482,0.36,19914.0,18,0.0,55.5,3,0,1,0,1,3,4,2,3,0,0,4,49.849999999999994,0.6,24.19885817358447,623.0,0.0,0.99931085,High Risk,3182.0555776059628,High,3,Financially Stressed,Immediate relationship manager intervention with premium retention offer
133013,0,56,Female,Married,Graduate,3,Business Owner,22966,Low,Less than $40K,Tier 1,North,Mass,41,Online,Lending,5,Current,Blue,7519.56,1,3,96,1,1967.0,1800.0,-0.49,6,314.83,6,19,6,7,145,3778,72,0.796,1.118,1438.3,0,1,0,1,0,0,0,1,0,1,0,1438,1510.0,0.0,1,1,0.0,0.0,0,20.3,0,18,18,0.842,5,1,,0,47.8,1,0.338,1,7,0,6,1,4,3,0,5.0,17,3,1,2,0,0,0,76,1,Low,Positive,1740,0.037,0.075,5780.0,36,0.0,39.3,1,2,0,0,1,0,2,2,3,1,0,4,58.19,0.6,44.62697941128191,303.5,0.0,0.00018961687,Low Risk,1.4258354214881548,Low,0,Digitally Loyal,Routine loyalty engagement and digital experience optimization
133014,0,39,Male,Married,College,5,Salaried,106223,Upper-Middle,$80K - $120K,Tier 1,South,Affluent,29,Branch,Multi-Product,3,Current,Blue,16388.63,1,0,7,0,23516.0,26023.0,9.87,4,355.83,5,12,13,9,106,4270,59,0.934,0.639,32394.0,1804,1,1,1,0,0,0,0,0,1,1,34198,2486.0,0.053,1,1,0.0,0.0,0,7.1,0,13,9,0.872,21,0,4.1,1,58.3,1,0.369,1,1,0,1,4,0,1,0,4.7,23,4,0,4,1,0,0,11,0,Low,Neutral,10283,0.113,0.094,67067.0,22,0.0,53.6,1,1,3,1,1,3,3,0,0,2,0,3,55.879999999999995,0.6,29.113212290227104,974.4,0.0,0.00013753852,Low Risk,2.2540678851109988,Low,1,Silent Risk,Routine loyalty engagement and digital experience optimization
133015,0,50,Female,Married,College,2,Business Owner,54098,Middle,$40K - $60K,Tier 2,East,Mass,36,Online,Multi-Product,5,Current,Blue,14950.25,1,1,78,0,7785.0,8642.0,1.23,5,430.83,4,20,7,8,133,5170,68,0.835,0.659,423.0,2005,1,0,1,0,0,0,0,0,1,0,2428,2549.0,0.826,0,1,0.0,0.0,0,46.4,0,24,11,0.897,16,1,1.8,1,67.8,1,0.604,0,0,0,2,1,0,3,0,3.2,42,3,0,3,1,0,0,60,0,Medium,Positive,5040,0.767,0.665,23026.0,35,0.0,61.4,2,2,2,0,1,0,1,2,3,2,0,1,52.019999999999996,0.0,48.06275093681837,617.6,0.0,0.00020625288,Low Risk,3.083532121636381,Low,0,Digitally Loyal,Routine loyalty engagement and digital experience optimization
133016,0,45,Male,Unknown,Unknown,4,Self-Employed,53837,Middle,$40K - $60K,Tier 1,East,Affluent,39,DSA,Multi-Product,5,Savings,Gold,14721.15,0,0,24,0,6779.0,7456.0,4.82,6,345.08,9,15,9,7,36,4141,73,0.736,0.521,22297.0,1684,1,1,1,1,0,0,1,0,1,0,23981,3301.0,0.07,0,2,19427.0,889.0,1,60.3,1,13,8,0.775,8,1,,0,44.0,1,0.344,3,12,0,5,2,0,1,0,4.2,28,5,1,1,0,0,0,112,0,High,Neutral,4982,0.046,0.038,20314.0,21,0.1982,36.9,3,1,2,1,3,4,1,0,1,2,3,1,51.870000000000005,1.7999999999999998,47.98554220699892,504.8,0.1982,0.00864238,Low Risk,127.22577418922447,Low,1,Silent Risk,Routine loyalty engagement and digital experience optimization
133017,0,47,Female,Unknown,Graduate,3,Business Owner,87726,Upper-Middle,Unknown,Tier 2,South,Affluent,34,DSA,Multi-Product,5,Current,Blue,22103.04,1,0,4,1,16731.0,17439.0,6.46,7,369.58,5,13,5,7,31,4435,88,0.89,0.796,16025.0,2039,1,1,1,0,1,1,0,0,1,0,18064,2089.0,0.113,0,1,32113.0,1133.0,0,19.7,1,19,16,0.833,17,1,4.3,1,61.8,1,0.352,1,3,0,2,4,8,0,0,3.1,33,2,0,5,0,0,0,14,0,Low,Positive,8770,0.133,0.183,54192.0,35,0.155,59.6,1,2,3,0,3,0,3,0,1,2,0,5,50.08,0.6,50.017578381144155,686.8,0.0,2.933503e-05,Low Risk,0.6483933297079056,Low,1,Silent Risk,Routine loyalty engagement and digital experience optimization
133018,0,43,Male,Married,Uneducated,5,Self-Employed,55428,Middle,$60K - $80K,Tier 1,East,Affluent,36,Mobile App,Savings Only,6,Savings,Blue,12532.0,1,0,24,1,28800.0,33471.0,0.07,7,404.33,3,14,9,6,71,4852,85,0.967,0.771,2023.0,598,1,0,1,0,0,1,1,0,0,0,2621,2752.0,0.228,0,0,21872.0,949.0,0,46.8,0,28,8,0.906,25,0,,0,60.1,1,0.321,2,3,0,3,4,4,3,0,5.0,89,2,0,2,2,0,0,136,0,Medium,Positive,2681,0.126,0.246,88560.0,36,0.2055,47.5,2,2,2,1,1,4,1,0,2,4,3,2,58.65,1.2,56.61672266766913,1312.5,0.0,0.0002674591,Low Risk,3.351797550567426,Low,2,High Value,Routine loyalty engagement and digital experience optimization
133019,0,46,Female,Married,College,3,Business Owner,35956,Lower-Middle,Less than $40K,Tier 1,West,Mass,41,Branch,Savings Only,4,Salary,Blue,14181.04,1,1,12,0,5607.0,7097.0,-10.2,7,389.08,4,24,11,13,42,4669,94,0.65,0.741,540.0,949,1,0,1,1,0,0,0,0,0,0,1489,1563.0,0.637,1,1,49777.0,2004.0,0,17.8,0,18,6,0.923,14,3,,1,65.6,1,0.273,1,4,0,2,1,0,0,0,4.8,44,3,0,3,1,0,0,9,0,Not Aware,Positive,3425,0.537,0.542,16619.0,24,0.6688,62.2,0,2,1,0,1,0,4,2,0,4,2,4,63.86,0.6,38.2389266173465,529.1999999999999,0.0,1.8196002e-05,Low Risk,0.258038235064887,Low,0,Digitally Loyal,Routine loyalty engagement and digital experience optimization
133020,0,46,Female,Married,Uneducated,3,Self-Employed,22747,Low,Less than $40K,Tier 2,North,Affluent,29,Branch,Lending,5,Savings,Blue,3051.65,0,1,33,1,12040.0,9153.0,-4.17,6,365.17,2,20,10,9,52,4382,83,0.61,0.694,779.0,1449,0,0,1,0,0,0,1,1,0,0,2228,2042.0,0.65,1,1,0.0,0.0,0,26.9,0,10,7,0.951,12,0,4.5,1,60.4,1,0.08,1,4,0,3,1,8,1,0,3.9,19,7,1,1,0,0,0,68,0,Low,Positive,1716,0.62,0.62,36552.0,17,0.0,50.4,1,2,0,0,1,4,2,0,0,1,3,4,50.12,0.6,40.11882672413334,595.2,0.0,0.00047452757,Low Risk,1.4480920453483124,Low,0,Digitally Loyal,Routine loyalty engagement and digital experience optimization
133021,0,65,Male,Single,High School,1,Salaried,33674,Lower-Middle,Less than $40K,Tier 2,East,Mass,54,Referral,Lending,3,Savings,Blue,16193.8,1,2,2,1,7876.0,8914.0,-0.78,5,350.67,2,18,16,3,31,4208,69,0.832,0.865,3161.0,1438,1,0,1,0,0,0,0,0,0,0,4599,1822.0,0.313,1,1,0.0,0.0,0,48.0,0,17,12,0.949,10,1,,1,64.7,1,0.743,1,8,0,4,3,6,2,0,5.0,26,1,0,0,1,0,0,39,0,High,Positive,3093,0.252,0.363,23983.0,29,0.0,59.9,3,2,1,1,2,3,1,2,4,1,3,4,69.57,0.6,29.07733644611577,401.0,0.0,6.807182e-05,Low Risk,1.1023414738592692,Low,0,Digitally Loyal,Routine loyalty engagement and digital experience optimization
133022,0,32,Female,Married,High School,1,Salaried,81303,Upper-Middle,Unknown,Tier 3,West,HNI,22,Mobile App,Multi-Product,3,Salary,Blue,8055.85,0,3,57,1,15068.0,20535.0,5.31,5,362.92,5,20,5,7,60,4355,71,0.984,0.919,896.0,2517,0,1,1,0,1,0,0,1,1,1,3413,2473.0,0.737,1,1,178909.0,6218.0,0,96.8,0,16,11,0.865,5,1,4.0,1,60.1,1,0.358,2,2,0,3,3,1,0,0,2.4,-21,5,0,4,0,0,0,24,0,Low,Neutral,7814,0.673,0.65,45710.0,27,0.9178,60.6,1,1,3,0,1,3,4,1,2,2,2,5,41.379999999999995,1.2,26.98283382075756,197.0,0.0,0.00011438724,Low Risk,0.921486473369805,Low,2,High Value,Routine loyalty engagement and digital experience optimization
133023,0,54,Female,Married,Unknown,3,Self-Employed,27332,Low,Less than $40K,Tier 3,West,Affluent,36,DSA,Savings Only,6,Current,Blue,9338.58,0,2,1,0,21931.0,22621.0,-9.64,2,116.75,3,18,12,7,68,1401,30,0.487,0.579,296.0,2260,1,0,1,0,0,0,0,0,1,0,2556,1027.0,0.884,0,2,0.0,0.0,0,41.0,0,17,10,0.925,65,1,,1,61.9,1,0.355,3,1,0,2,4,0,1,0,3.9,76,10,2,1,1,1,0,166,0,Not Aware,Positive,2250,0.801,0.811,67174.0,27,0.0,57.3,0,2,0,0,1,4,4,0,1,4,0,4,54.989999999999995,1.7999999999999998,54.8520993739903,2775.5,0.0,0.0019290055,Low Risk,18.01417210325366,Low,0,Digitally Loyal,Routine loyalty engagement and digital experience optimization
133024,0,37,Male,Single,High School,2,Self-Employed,70096,Middle,$60K - $80K,Tier 1,South,Mass,21,Branch,Lending,5,NRE/NRO,Blue,14573.93,0,1,10,0,12867.0,11168.0,1.11,7,370.33,3,13,5,1,74,4444,87,0.526,0.642,2469.0,964,1,0,1,1,1,0,1,0,0,0,3433,1811.0,0.281,1,0,12381.0,585.0,0,25.8,1,25,8,0.864,25,0,,1,65.9,1,0.527,0,0,0,4,2,0,1,0,3.9,97,3,0,0,2,0,0,17,0,Not Aware,Positive,5858,0.255,0.311,39687.0,33,0.1001,56.3,0,2,2,1,2,4,3,2,0,1,1,2,48.69,0.0,47.93529104231367,1092.5,0.0,3.2509546e-05,Low Risk,0.473791849847039,Low,2,High Value,Routine loyalty engagement and digital experience optimization
133025,0,49,Female,Married,Graduate,5,Salaried,53945,Middle,$40K - $60K,Tier 2,North,Mass,35,Mobile App,Lending,5,Savings,Blue,16256.87,1,3,13,0,9115.0,8118.0,-11.82,6,329.67,4,16,7,7,78,3956,74,0.797,0.609,9823.0,1292,1,1,1,0,0,0,1,0,0,1,11115,2152.0,0.116,1,1,0.0,0.0,0,23.4,0,20,3,0.882,24,1,,0,52.8,1,0.464,2,2,0,3,1,0,0,0,4.3,29,3,1,1,1,0,0,20,0,Low,Positive,5006,0.114,0.114,25166.0,23,0.0,39.9,1,2,2,0,1,3,2,2,2,1,3,1,51.769999999999996,1.2,48.48166189105537,1442.4,0.0,1.7571849e-05,Low Risk,0.28566326046096946,Low,2,High Value,Routine loyalty engagement and digital experience optimization
133026,0,50,Male,Married,College,1,Self-Employed,103438,Upper-Middle,$80K - $120K,Tier 1,North,Mass,33,Branch,Premium,5,Current,Blue,25866.29,0,0,14,0,7962.0,7046.0,9.32,7,346.08,7,18,11,4,115,4153,91,0.778,0.685,15947.0,1211,1,0,1,0,1,0,1,1,0,0,17158,1731.0,0.071,0,0,125916.0,5862.0,0,16.9,1,20,13,0.825,26,2,,0,47.4,1,0.313,3,4,0,4,2,0,0,0,2.2,12,5,0,2,1,0,0,159,0,Not Aware,Neutral,9667,0.02,0.034,25158.0,33,0.6801,42.5,0,1,3,1,1,4,2,2,0,3,0,3,39.150000000000006,1.7999999999999998,50.803672575754966,1495.0,0.0,0.00036718434,Low Risk,9.497696730885073,Low,1,Silent Risk,Routine loyalty engagement and digital experience optimization
133027,0,34,Male,Married,High School,3,Business Owner,63929,Middle,$60K - $80K,Tier 2,Central,HNI,26,Branch,Multi-Product,4,Current,Blue,11604.28,1,3,91,1,9515.0,8819.0,6.16,2,153.58,4,12,6,5,91,1843,35,0.952,0.944,748.0,2517,1,0,1,0,1,1,0,1,0,0,3265,1404.0,0.771,1,1,52309.0,1605.0,1,52.5,0,23,9,0.852,32,2,,0,55.8,1,0.364,1,1,0,4,3,3,1,0,3.5,41,6,1,1,1,0,0,1,1,Low,Negative,4396,0.754,0.617,29261.0,32,0.3013,44.7,1,0,2,1,1,0,0,1,0,2,0,2,44.81,0.6,37.43686178379484,1769.6,0.3013,0.00032545908,Low Risk,3.776718347476563,Low,2,High Value,Routine loyalty engagement and digital experience optimization
133028,0,53,Male,Married,Uneducated,3,Salaried,76063,Middle,$80K - $120K,Tier 3,South,HNI,36,Branch,Multi-Product,3,Savings,Blue,13953.5,1,0,21,1,12116.0,12855.0,2.04,3,183.08,3,14,3,6,90,2197,45,0.956,0.957,9321.0,2129,1,1,1,1,0,0,0,0,0,0,11450,1305.0,0.186,1,1,66172.0,2493.0,0,42.6,0,22,10,0.885,14,2,3.6,1,62.4,1,0.617,1,2,0,2,1,5,0,0,2.5,17,5,0,4,1,0,0,35,0,Medium,Negative,4610,0.186,0.173,37275.0,32,0.3933,61.0,2,0,2,1,1,3,3,1,0,2,3,3,47.7,0.6,28.63067194763017,546.0,0.0,0.0006545482,Low Risk,9.133237942704,Low,2,High Value,Routine loyalty engagement and digital experience optimization
133029,1,51,Female,Married,Graduate,0,Retired,25734,Low,Less than $40K,Tier 1,Central,Affluent,32,DSA,Investment,4,Savings,Blue,2404.78,0,0,120,1,2572.0,2556.0,14.47,3,198.08,2,7,7,6,76,2377,47,0.879,0.516,1426.0,331,1,0,1,0,0,0,0,0,1,0,1757,1239.0,0.188,0,5,0.0,0.0,0,56.9,0,16,7,0.909,12,3,2.6,0,54.9,1,0.468,4,6,1,2,3,1,2,0,4.2,0,5,0,2,2,0,0,365,0,High,Negative,2057,0.161,0.259,7744.0,23,0.0,43.7,3,0,0,0,1,2,0,0,1,0,3,4,51.11,2.4,31.142517817129683,675.5999999999999,0.0,0.9999317,High Risk,2404.6157368779186,High,3,Financially Stressed,Immediate relationship manager intervention with premium retention offer
133030,0,49,Female,Married,Uneducated,4,Retired,19418,Low,Less than $40K,Tier 3,South,Affluent,36,Online,Savings Only,6,Current,Blue,3715.69,0,2,3,1,12354.0,15165.0,-7.66,3,180.83,5,21,13,10,104,2170,41,0.782,0.464,1438.3,0,1,0,1,0,1,0,0,1,1,0,1438,1510.0,0.0,1,2,142331.0,4122.0,0,41.8,1,15,10,0.898,16,2,,0,50.1,1,0.46,0,0,0,6,3,9,3,0,1.8,-11,3,0,2,0,0,0,6,1,Low,Positive,1368,0.0,0.045,38347.0,25,2.5473,40.5,1,2,0,0,1,2,3,0,3,4,0,4,37.35,0.0,49.32353259736413,952.0,0.0,0.0004087441,Low Risk,1.5187663286516908,Low,0,Digitally Loyal,Routine loyalty engagement and digital experience optimization
